To honour the JVM settings for this build a single-use Daemon process will be forked. For more on this, please refer to https://docs.gradle.org/9.5.0/userguide/gradle_daemon.html#sec:disabling_the_daemon in the Gradle documentation.
Daemon will be stopped at the end of the build 
Reusing configuration cache.
> Task :feature-demo:kspDebugKotlin UP-TO-DATE
> Task :feature-about:compileDebugKotlin UP-TO-DATE
> Task :feature-demo:compileDebugKotlin UP-TO-DATE
> Task :feature-about:compileDebugJavaWithJavac NO-SOURCE
> Task :feature-about:processDebugJavaRes UP-TO-DATE
> Task :feature-demo:compileDebugJavaWithJavac NO-SOURCE
> Task :feature-about:bundleLibCompileToJarDebug UP-TO-DATE
> Task :feature-demo:processDebugJavaRes UP-TO-DATE
> Task :feature-demo:bundleLibCompileToJarDebug UP-TO-DATE
> Task :feature-about:bundleLibRuntimeToDirDebug UP-TO-DATE
> Task :feature-demo:bundleLibRuntimeToDirDebug UP-TO-DATE
> Task :app:mergeLibDexDebugAndroidTest UP-TO-DATE
> Task :app:mergeLibDexDebug UP-TO-DATE
> Task :app:kspDebugKotlin UP-TO-DATE
> Task :app:compileDebugKotlin UP-TO-DATE
> Task :app:compileDebugJavaWithJavac NO-SOURCE
> Task :app:processDebugJavaRes UP-TO-DATE
> Task :app:bundleDebugClassesToCompileJar UP-TO-DATE
> Task :app:dexBuilderDebug UP-TO-DATE
> Task :app:mergeProjectDexDebug UP-TO-DATE
> Task :app:kspDebugAndroidTestKotlin UP-TO-DATE
> Task :app:mergeDebugJavaResource UP-TO-DATE
> Task :app:packageDebug UP-TO-DATE
> Task :app:createDebugApkListingFileRedirect UP-TO-DATE
> Task :app:compileDebugAndroidTestKotlin UP-TO-DATE
> Task :app:compileDebugAndroidTestJavaWithJavac NO-SOURCE
> Task :app:processDebugAndroidTestJavaRes UP-TO-DATE
> Task :app:mergeDebugAndroidTestJavaResource UP-TO-DATE

> Task :app:verifyCrossModuleRouteConflicts
TRouter L1 校验通过：跨模块无重复 path（共扫描 6 条路由清单项）

> Task :app:dexBuilderDebugAndroidTest
> Task :app:mergeProjectDexDebugAndroidTest
> Task :app:packageDebugAndroidTest
> Task :app:createDebugAndroidTestApkListingFileRedirect UP-TO-DATE
Starting 3 tests on trouter_test(AVD) - 16
trouter_test(AVD) - 16 Tests 0/3 completed. (0 skipped) (0 failed)
trouter_test(AVD) - 16 Tests 1/3 completed. (0 skipped) (0 failed)
> Task :app:connectedDebugAndroidTest


com.demo.trouter.TRouterParamPassingTest > remoteParamsDeliveredCrossProcess[trouter_test(AVD) - 16] [31mFAILED [0m
	java.lang.AssertionError: expected:</remote-second> but was:<null>
	at org.junit.Assert.fail(Assert.java:89)
trouter_test(AVD) - 16 Tests 2/3 completed. (0 skipped) (1 failed)
trouter_test(AVD) - 16 Tests 3/3 completed. (0 skipped) (1 failed)
Tests on trouter_test(AVD) - 16 failed: There was 1 failure(s).
Finished 3 tests on trouter_test(AVD) - 16
Execute com.demo.trouter.TRouterParamPassingTest.remoteParamsDeliveredCrossProcess: FAILED
java.lang.AssertionError: java.lang.AssertionError: expected:</remote-second> but was:<null>
at org.junit.Assert.fail(Assert.java:89)
at org.junit.Assert.failNotEquals(Assert.java:835)
at org.junit.Assert.assertEquals(Assert.java:120)
at org.junit.Assert.assertEquals(Assert.java:146)
at com.demo.trouter.TRouterParamPassingTest.remoteParamsDeliveredCrossProcess(TRouterParamPassingTest.kt:98)

java.lang.AssertionError: expected:</remote-second> but was:<null>
at org.junit.Assert.fail(Assert.java:89)
at org.junit.Assert.failNotEquals(Assert.java:835)
at org.junit.Assert.assertEquals(Assert.java:120)
at org.junit.Assert.assertEquals(Assert.java:146)
at com.demo.trouter.TRouterParamPassingTest.remoteParamsDeliveredCrossProcess(TRouterParamPassingTest.kt:98)

> Task :app:connectedDebugAndroidTest FAILED

FAILURE: Build failed with an exception.

* What went wrong:
Execution failed for task ':app:connectedDebugAndroidTest' (registered by plugin 'com.android.internal.application').
> There were failing tests. See the report at: file:///Users/tye/Work/Android/TRouterDemo/app/build/reports/androidTests/connected/debug/index.html

* Try:
> Run with --stacktrace option to get the stack trace.
> Run with --info or --debug option to get more log output.
> Run with --scan to get full insights from a Build Scan (powered by Develocity).
> Get more help at https://help.gradle.org.

BUILD FAILED in 1m 5s
134 actionable tasks: 5 executed, 129 up-to-date
Configuration cache entry reused.
