Reusing configuration cache.
> Task :trouter-core:preDebugUnitTestBuild UP-TO-DATE
> Task :trouter-processor:classes UP-TO-DATE
> Task :trouter-core:compileDebugAidl UP-TO-DATE
> Task :trouter-processor:jar UP-TO-DATE
> Task :app:processDebugNavigationResources UP-TO-DATE
> Task :feature-demo:javaPreCompileDebug UP-TO-DATE
> Task :feature-about:javaPreCompileDebug UP-TO-DATE
> Task :app:parseDebugLocalResources UP-TO-DATE
> Task :app:javaPreCompileDebug UP-TO-DATE
> Task :app:checkDebugAarMetadata UP-TO-DATE
> Task :app:compileDebugNavigationResources UP-TO-DATE
> Task :app:generateDebugRFile UP-TO-DATE
> Task :app:mergeDebugResources UP-TO-DATE
> Task :trouter-core:compileDebugKotlin UP-TO-DATE
> Task :app:processDebugMainManifest UP-TO-DATE
> Task :trouter-core:processDebugJavaRes UP-TO-DATE
> Task :app:processDebugManifest UP-TO-DATE
> Task :trouter-core:mergeDebugJavaResource UP-TO-DATE
> Task :app:processDebugManifestForPackage UP-TO-DATE
> Task :trouter-core:compileDebugJavaWithJavac UP-TO-DATE
> Task :trouter-core:bundleLibCompileToJarDebug UP-TO-DATE
> Task :trouter-core:bundleLibRuntimeToJarDebug UP-TO-DATE
> Task :trouter-core:mergeDebugGeneratedProguardFiles UP-TO-DATE
> Task :trouter-core:mergeDebugConsumerProguardFiles UP-TO-DATE
> Task :trouter-core:extractDebugAnnotations UP-TO-DATE
> Task :trouter-core:createFullJarDebug UP-TO-DATE
> Task :trouter-core:syncDebugLibJars UP-TO-DATE
> Task :feature-about:kspDebugKotlin UP-TO-DATE
> Task :feature-about:extractDebugAnnotations UP-TO-DATE
> Task :feature-demo:kspDebugKotlin UP-TO-DATE
> Task :trouter-core:bundleDebugLocalLintAar UP-TO-DATE
> Task :feature-demo:extractDebugAnnotations UP-TO-DATE
> Task :trouter-core:lintAnalyzeDebug UP-TO-DATE
> Task :trouter-core:generateDebugLintModel UP-TO-DATE
> Task :trouter-core:generateDebugUnitTestLintModel UP-TO-DATE
> Task :feature-demo:compileDebugKotlin UP-TO-DATE
> Task :trouter-core:generateDebugAndroidTestLintModel UP-TO-DATE
> Task :feature-demo:compileDebugJavaWithJavac NO-SOURCE
> Task :feature-demo:mergeDebugGeneratedProguardFiles UP-TO-DATE
> Task :feature-demo:mergeDebugConsumerProguardFiles UP-TO-DATE
> Task :feature-demo:processDebugJavaRes UP-TO-DATE
> Task :feature-demo:bundleLibCompileToJarDebug UP-TO-DATE
> Task :feature-demo:bundleLibRuntimeToJarDebug UP-TO-DATE
> Task :trouter-core:lintAnalyzeDebugAndroidTest UP-TO-DATE
> Task :feature-demo:createFullJarDebug UP-TO-DATE
> Task :feature-demo:mergeDebugJavaResource UP-TO-DATE
> Task :feature-about:compileDebugKotlin UP-TO-DATE
> Task :feature-about:compileDebugJavaWithJavac NO-SOURCE
> Task :feature-demo:syncDebugLibJars UP-TO-DATE
> Task :feature-about:mergeDebugGeneratedProguardFiles UP-TO-DATE
> Task :feature-about:bundleLibCompileToJarDebug UP-TO-DATE
> Task :feature-about:processDebugJavaRes UP-TO-DATE
> Task :feature-demo:bundleDebugLocalLintAar UP-TO-DATE
> Task :feature-about:bundleLibRuntimeToJarDebug UP-TO-DATE
> Task :feature-about:mergeDebugConsumerProguardFiles UP-TO-DATE
> Task :trouter-core:lintAnalyzeDebugUnitTest UP-TO-DATE
> Task :feature-about:mergeDebugJavaResource UP-TO-DATE
> Task :feature-about:createFullJarDebug UP-TO-DATE
> Task :app:processDebugResources UP-TO-DATE
> Task :feature-demo:generateDebugAndroidTestLintModel UP-TO-DATE
> Task :feature-demo:lintAnalyzeDebug UP-TO-DATE
> Task :feature-demo:generateDebugUnitTestLintModel UP-TO-DATE
> Task :feature-demo:generateDebugLintModel UP-TO-DATE
> Task :feature-demo:lintAnalyzeDebugAndroidTest UP-TO-DATE
> Task :feature-about:syncDebugLibJars UP-TO-DATE
> Task :feature-about:generateDebugLintModel UP-TO-DATE
> Task :feature-about:lintAnalyzeDebug UP-TO-DATE
> Task :feature-about:bundleDebugLocalLintAar UP-TO-DATE
> Task :feature-about:generateDebugUnitTestLintModel UP-TO-DATE
> Task :feature-demo:lintAnalyzeDebugUnitTest UP-TO-DATE
> Task :feature-about:lintAnalyzeDebugAndroidTest UP-TO-DATE
> Task :feature-about:lintAnalyzeDebugUnitTest UP-TO-DATE
> Task :feature-about:generateDebugAndroidTestLintModel UP-TO-DATE
> Task :trouter-lint:compileKotlin
> Task :trouter-lint:compileJava NO-SOURCE
> Task :trouter-lint:classes UP-TO-DATE
> Task :trouter-lint:jar
> Task :app:kspDebugKotlin

> Task :app:compileDebugKotlin
w: file:///Users/tye/Work/Android/TRouterDemo/app/src/main/java/com/demo/trouter/MainActivity.kt:301:18 This declaration overrides a deprecated member but is not marked as deprecated itself. Add the '@Deprecated' annotation or suppress the diagnostic.
w: file:///Users/tye/Work/Android/TRouterDemo/app/src/main/java/com/demo/trouter/MainActivity.kt:302:15 'fun onActivityResult(p0: Int, p1: Int, p2: Intent?): Unit' is deprecated. Deprecated in Java.

> Task :app:compileDebugJavaWithJavac
> Task :app:bundleDebugClassesToCompileJar
> Task :app:generateDebugLintReportModel
> Task :app:generateDebugUnitTestLintModel
> Task :app:generateDebugAndroidTestLintModel
> Task :app:lintAnalyzeDebugUnitTest
> Task :app:lintAnalyzeDebugAndroidTest
> Task :app:lintAnalyzeDebug

> Task :app:lintReportDebug
Wrote HTML report to file:///Users/tye/Work/Android/TRouterDemo/app/build/reports/lint-results-debug.html
Wrote SARIF report to file:///Users/tye/Work/Android/TRouterDemo/app/build/reports/lint-results-debug.sarif
Lint found 1 error and 43 warnings. First failure:
/Users/tye/Work/Android/TRouterDemo/app/src/main/java/com/demo/trouter/LintProbe.kt:8: Error: 路由 path 不要硬编码字符串（"/second"）：请引用 RouterContract 常量。KSP 只能检查 @Route 注解，调用点由本规则守住；确需临时写死请加 @Suppress("TRouterHardcodedPath")。 [TRouterHardcodedPath from com.trouter]
    fun bad() { TRouter.navigate("/second") }
                                 ~~~~~~~~~


> Task :app:lintDebug FAILED
Lint found 1 error, 43 warnings. First failure:

/Users/tye/Work/Android/TRouterDemo/app/src/main/java/com/demo/trouter/LintProbe.kt:8: Error: 路由 path 不要硬编码字符串（"/second"）：请引用 RouterContract 常量。KSP 只能检查 @Route 注解，调用点由本规则守住；确需临时写死请加 @Suppress("TRouterHardcodedPath")。 [TRouterHardcodedPath from com.trouter]
    fun bad() { TRouter.navigate("/second") }
                                 ~~~~~~~~~

   Explanation for issues of type "TRouterHardcodedPath":
   TRouter 的路径契约要求所有 path 引用 RouterContract 常量。
   @Route 注解里的字面量由 KSP 处理器分级校验（warning/error），
   但调用点的字面量（如 TRouter.navigate("/second")）KSP 看不到，
   必须由本 Lint 规则在编译/CI 阶段拦住，否则改路径时会漏改调用方，
   最终在运行期表现为「打开了错误页面」或「路由未找到」。

   Vendor: TRouter
   Identifier: com.trouter
   Feedback: https://github.com/Tyeeee/TRouter/issues


The full lint text report is located at:
  /Users/tye/Work/Android/TRouterDemo/app/build/intermediates/lint_intermediate_text_report/debug/lintReportDebug/lint-results-debug.txt

FAILURE: Build failed with an exception.

* What went wrong:
Execution failed for task ':app:lintDebug' (registered by plugin 'com.android.internal.application').
> Lint found errors in the project; aborting build.
  
  Fix the issues identified by lint, or create a baseline to see only new errors.
  To create a baseline, run `gradlew updateLintBaseline` after adding the following to the module's build.gradle file:
  ```
  android {
      lint {
          baseline = file("lint-baseline.xml")
      }
  }
  ```
  For more details, see https://developer.android.com/studio/write/lint#snapshot
  
  Lint found 1 error, 43 warnings. First failure:
  
  /Users/tye/Work/Android/TRouterDemo/app/src/main/java/com/demo/trouter/LintProbe.kt:8: Error: 路由 path 不要硬编码字符串（"/second"）：请引用 RouterContract 常量。KSP 只能检查 @Route 注解，调用点由本规则守住；确需临时写死请加 @Suppress("TRouterHardcodedPath")。 [TRouterHardcodedPath from com.trouter]
      fun bad() { TRouter.navigate("/second") }
                                   ~~~~~~~~~
  
     Explanation for issues of type "TRouterHardcodedPath":
     TRouter 的路径契约要求所有 path 引用 RouterContract 常量。
     @Route 注解里的字面量由 KSP 处理器分级校验（warning/error），
     但调用点的字面量（如 TRouter.navigate("/second")）KSP 看不到，
     必须由本 Lint 规则在编译/CI 阶段拦住，否则改路径时会漏改调用方，
     最终在运行期表现为「打开了错误页面」或「路由未找到」。
  
     Vendor: TRouter
     Identifier: com.trouter
     Feedback: https://github.com/Tyeeee/TRouter/issues
  
  
  The full lint text report is located at:
    /Users/tye/Work/Android/TRouterDemo/app/build/intermediates/lint_intermediate_text_report/debug/lintReportDebug/lint-results-debug.txt

* Try:
> Run with --stacktrace option to get the stack trace.
> Run with --info or --debug option to get more log output.
> Run with --scan to get full insights from a Build Scan (powered by Develocity).
> Get more help at https://help.gradle.org.

BUILD FAILED in 41s
146 actionable tasks: 14 executed, 132 up-to-date
Configuration cache entry reused.
